,0
2019-06-25,0
2019-06-26,146
2019-06-27,136
2019-06-28,251
2019-06-29,729
2019-06-30,50
2019-07-01,74
2019-07-02,110
2019-07-03,513
2019-07-04,1224
2019-07-05,4018
2019-07-06,30770
2019-07-07,2282
2019-07-08,20388
2019-07-09,27965
2019-07-10,22470
2019-07-11,7104
2019-07-12,6409
2019-07-13,8652
2019-07-14,6066
2019-07-15,5631
2019-07-16,3996
2019-07-17,4921
2019-07-18,5415
2019-07-19,5735
2019-07-20,4913
2019-07-21,6588
2019-07-22,9570
2019-07-23,12382
2019-07-24,10676
2019-07-25,6301
2019-07-26,7523
2019-07-27,5132
2019-07-28,4006
2019-07-29,6555
2019-07-30,5076
2019-07-31,12167
